customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_disc_bins_null,item_disc_bins_sub_twenty,item_disc_bins_sub_forty,item_disc_bins_sub_sixty,item_disc_bins_sub_eighty,item_disc_bins_sub_hundred
4453,2022-04-09,11:06:15,BBW-WINE-646,Olivier Leflaive Meursault Blanc 2018,1,162.0,1,0,0,0,0,0
4453,2022-04-09,11:06:15,BBW-WINE-539,Spier 21 Gables Pinotage 2016,1,74.0,1,0,0,0,0,0
4454,2023-04-16,18:06:48,,Baia's Wine Aladasturi 2021,1,65.0,1,0,0,0,0,0
4454,2023-04-16,18:06:48,BBW-WINE-352,Bodega Garzon Reserva-Albariño 2020,1,50.0,1,0,0,0,0,0
4454,2023-04-16,18:06:48,,Chizay Chersegi 2021,1,52.0,1,0,0,0,0,0
4455,2023-03-10,23:26:57,BBW-WINE-728,Momento Mori Fistful Of Flowers 2021,1,69.0,1,0,0,0,0,0
4455,2023-03-10,23:26:57,,Feteasca Neagră de Purcari 2019,1,69.0,1,0,0,0,0,0
4455,2023-03-10,23:26:57,,Piquentum Refošk 2020,1,75.0,1,0,0,0,0,0
4455,2023-03-10,23:26:57,,The Prisoner Napa Cabernet Sauvignon 2019,1,120.0,1,0,0,0,0,0
4455,2023-03-10,23:26:57,,Bock Royal Cuvee 2015,1,71.0,1,0,0,0,0,0
4455,2023-03-10,23:26:57,BBW-WINE-902,L.A.S. Vino Pirate Blend 2020,1,89.0,1,0,0,0,0,0
4456,2023-02-06,21:53:26,,Grape Republic Muscat Bailey A 2020,1,88.0,1,0,0,0,0,0
4456,2023-02-06,21:53:26,,Lumière Ishigura Muscat Bailey A 2020,1,62.0,1,0,0,0,0,0
4456,2023-02-06,21:53:26,BBW-WINE-054,Abrau-Durso Chardonnay 2018,1,70.0,1,0,0,0,0,0
4456,2023-02-06,21:53:26,BBW-WINE-053,Abrau-Durso Blanc de Blancs Brut d’Or 2018,1,73.0,1,0,0,0,0,0
4456,2023-02-06,21:53:26,,Budureasca Noble 5 2019,1,66.0,1,0,0,0,0,0
4456,2023-02-06,21:53:26,,Oxer Ahari 2020,1,97.0,1,0,0,0,0,0
4456,2023-02-06,21:53:26,BBW-WINE-728,Momento Mori Fistful Of Flowers 2021,1,69.0,1,0,0,0,0,0
4457,2022-09-21,06:21:09,,MURI - YAMILE,1,48.0,1,0,0,0,0,0
4457,2022-09-21,06:21:09,,MURI - PASSING CLOUDS,1,48.0,1,0,0,0,0,0
4457,2022-09-21,06:21:09,,MURI - NUALA,1,48.0,1,0,0,0,0,0
4458,2022-04-13,13:30:45,BBW-WINE-275,Cantina Lavis Nosiola Trentino DOC 2020,2,45.0,1,0,0,0,0,0
4459,2022-07-30,16:12:21,,GranMonte Viognier 2019,1,68.0,1,0,0,0,0,0
4459,2022-07-30,16:12:21,,Budureasca Bristena Busuioaca de Bohotin 2018,1,52.0,1,0,0,0,0,0
4459,2022-07-30,16:12:21,,Becker Spatburgunder,1,69.0,1,0,0,0,0,0
4460,2023-02-16,19:35:05,,Akemi Viura 2019,1,48.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,Lagertal Holunder Goldtraminer 2020,1,44.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,VC Vicentino Alvarinho 2019,1,63.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,Gorghi Tondi Dumè Frappato Sicilia DOC 2021,1,58.0,1,0,0,0,0,0
